average_line_count,average_param_count,average_var_count,class_implements_last_name,class_last_name,class_last_name_is_different,class_name,implements,implements_name,method_count,project_name,total_line_count,total_param_count,total_var_count,pattern
0.0,1.0,1.0,,observer,True,PreferencesObserver,,,1,TurtlePlayer,0.0,0.6931471805599453,0.6931471805599453,8
1.0,1.0,1.0,,builder,True,PdqRouteBuilder,False,,1,coala,0.6931471805599453,0.6931471805599453,0.6931471805599453,2
7.0,9.0,9.0,,builder,True,DocumentEntryBuilder,False,,3,coala,2.70805020110221,2.9444389791664403,2.9444389791664403,2
13.666666666666666,4.0,4.0,,builder,True,CDABuilder,False,,4,coala,3.7376696182833684,2.5649493574615367,2.5649493574615367,2
5.5,5.0,5.0,builder,impl,True,PdqMessageBuilderImpl,True,Builder,6,coala,3.5263605246161616,3.4339872044851463,3.4339872044851463,2
5.5,5.0,5.0,builder,impl,True,PdqMessageBuilderImpl,True,Builder,6,coala,3.5263605246161616,3.4339872044851463,3.4339872044851463,2
1.5,1.5,1.5,,decorator,True,BuildConsoleStreamDecorator,False,,5,cdt,1.9459101490553132,1.9459101490553132,1.9459101490553132,3
1.3571428571428572,1.7857142857142858,1.7857142857142858,listener,proxy,True,AbstractCExtensionProxy,True,Listener,17,cdt,2.995732273553991,3.258096538021482,3.258096538021482,10
2.0,1.7222222222222223,1.7222222222222223,listener,proxy,True,PathEntryStoreProxy,True,Listener,29,cdt,3.6109179126442243,3.4657359027997265,3.4657359027997265,10
3.3181818181818183,3.4545454545454546,3.4545454545454546,,visitor,True,CStructureCreatorVisitor,False,,29,cdt,4.30406509320417,4.343805421853684,4.343805421853684,12
5.875,5.65,5.65,builder,builder2,True,CModelBuilder2,True,Builder,61,cdt,5.4638318050256105,5.424950017481403,5.424950017481403,2
1.0,0.0,0.0,imitty,adapter,True,MITTYAdapter,True,IMITTY,5,cdt,1.3862943611198906,0.0,0.0,1
3.8,3.8,3.8,listener,adapter,True,DelegatingDragAdapter,True,Listener,8,cdt,2.995732273553991,2.995732273553991,2.995732273553991,1
1.8157894736842104,1.631578947368421,1.631578947368421,ipdom,proxy,True,PDOMProxy,True,IPDOM,100,cdt,4.248495242049359,4.143134726391533,4.143134726391533,10
2.0,2.0,2.0,listener,adapter,True,BasicSelectionTransferDragAdapter,True,Listener,5,cdt,2.3978952727983707,2.3978952727983707,2.3978952727983707,1
1.0,1.0,1.0,,visitor,True,CPPASTAllVisitor,False,,17,cdt,2.8903717578961645,2.8903717578961645,2.8903717578961645,12
2.6,2.4,2.4,,visitor,True,IndexerASTVisitor,False,,16,cdt,3.6888794541139363,3.6109179126442243,3.6109179126442243,12
1.0,1.0,1.0,visitor,visitor,True,ASTGenericVisitor,True,Visitor,40,cdt,3.713572066704308,3.713572066704308,3.713572066704308,12
2.2432432432432434,1.648648648648649,1.648648648648649,,visitor,True,ChangeGeneratorWriterVisitor,False,,39,cdt,4.430816798843313,4.127134385045092,4.127134385045092,12
8.611111111,7.166666666666667,7.166666666666667,,builder,True,ControlFlowGraphBuilder,False,,45,cdt,5.049856007249537,4.867534450455582,4.867534450455582,2
2.0,1.25,1.25,adapter,adapter,True,CWorkbenchAdapter,True,Adapter,5,cdt,2.1972245773362196,1.791759469228055,1.791759469228055,1
0.0,1.0,1.0,,visitor,True,IPathSettingsContainerVisitor,,,1,cdt,0.0,0.6931471805599453,0.6931471805599453,12
1.5454545454545454,1.0,1.0,object,proxy,True,CDataProxy,True,Object,31,cdt,3.5553480614894135,3.1354942159291497,3.1354942159291497,10
5.0,2.5,2.5,,adapter,True,CodeReaderAdapter,False,,3,cdt,2.3978952727983707,1.791759469228055,1.791759469228055,1
1.0,0.5,0.5,console,adapter,True,MultiBuildConsoleAdapter,True,Console,10,cdt,1.6094379124341003,1.0986122886681098,1.0986122886681098,1
2.1052631578947367,2.210526315789474,2.210526315789474,listener,adapter,True,CDTViewerDropAdapter,True,Listener,20,cdt,3.713572066704308,3.7612001156935624,3.7612001156935624,1
2.1052631578947367,2.210526315789474,2.210526315789474,listener,adapter,True,CDTViewerDropAdapter,True,Listener,20,cdt,3.713572066704308,3.7612001156935624,3.7612001156935624,1
1.3,2.0,2.0,,prototype,True,AutoconfPrototype,False,,10,cdt,2.6390573296152584,3.044522437723423,3.044522437723423,9
2.0,3.0,3.0,,decorator,True,CNavigatorProblemsLabelDecorator,False,,1,cdt,1.0986122886681098,1.3862943611198906,1.3862943611198906,3
5.305555555555555,4.798611111111111,4.798611111111111,visitor,visitor,True,CodeFormatterVisitor,True,Visitor,149,cdt,6.639875833826536,6.539585955617669,6.539585955617669,12
1.9166666666666667,3.333333333333333,3.333333333333333,generator,builder,True,ACBuilder,True,Generator,14,cdt,3.1780538303479458,3.713572066704308,3.713572066704308,2
0.0,1.1538461538461535,1.1538461538461535,,adapter,True,IndexerInputAdapter,False,,20,cdt,0.0,2.772588722239781,2.772588722239781,1
2.533333333333333,3.8,3.8,decorator,decorator,True,ProblemsLabelDecorator,True,Decorator,17,cdt,3.6635616461296463,4.060443010546419,4.060443010546419,3
2.066666666666667,3.1333333333333333,3.1333333333333333,proxy,strategy,True,DefaultVMModelProxyStrategy,True,Proxy,38,cdt,4.143134726391533,4.553876891600541,4.553876891600541,10
